City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-02-06 00:14:46,-33.9258,18.4232,69.12,68,0,1.01
1,Halifax,CA,2022-02-06 00:13:07,44.6453,-63.5724,19.09,85,81,7.0
2,Hilo,US,2022-02-06 00:15:35,19.7297,-155.09,78.53,78,100,9.22
3,Chumikan,RU,2022-02-06 00:16:59,54.7183,135.315,-1.1,78,100,12.95
4,Yumen,CN,2022-02-06 00:17:00,40.2833,97.2,15.22,42,100,13.96
5,Kapaa,US,2022-02-06 00:17:00,22.0752,-159.319,80.19,65,0,1.99
6,Pevek,RU,2022-02-06 00:12:16,69.7008,170.3133,-26.84,99,42,1.79
7,Port Alfred,ZA,2022-02-06 00:17:01,-33.5906,26.891,70.2,86,73,25.88
8,Sevsk,RU,2022-02-06 00:17:01,52.1491,34.4926,30.81,97,100,11.41
9,Aklavik,CA,2022-02-06 00:14:17,68.2191,-135.0107,-35.9,89,10,0.56
10,Geraldton,AU,2022-02-06 00:17:02,-28.7667,114.6,77.41,78,100,12.66
11,Roebourne,AU,2022-02-06 00:17:02,-20.7833,117.1333,86.18,68,55,9.37
12,Alyangula,AU,2022-02-06 00:17:03,-13.8483,136.4192,83.17,68,78,7.76
13,Sao Filipe,CV,2022-02-06 00:17:03,14.8961,-24.4956,73.09,72,0,9.24
14,Teshie,GH,2022-02-06 00:17:03,5.5836,-0.1072,82.96,83,0,3.44
15,Butaritari,KI,2022-02-06 00:15:39,3.0707,172.7902,82.67,74,51,18.7
16,New Norfolk,AU,2022-02-06 00:17:04,-42.7826,147.0587,70.72,45,75,2.68
17,Xai-Xai,MZ,2022-02-06 00:17:04,-25.0519,33.6442,76.03,80,13,14.12
18,Te Anau,NZ,2022-02-06 00:17:05,-45.4167,167.7167,62.33,43,8,4.76
19,Gat,IL,2022-02-06 00:14:14,31.61,34.7642,52.39,100,82,8.05
20,Thompson,CA,2022-02-06 00:17:05,55.7435,-97.8558,-12.84,70,75,4.61
21,Kieta,PG,2022-02-06 00:14:16,-6.2167,155.6333,86.65,67,56,8.99
22,Lebu,CL,2022-02-06 00:17:06,-37.6167,-73.65,59.47,80,0,19.37
23,Cidreira,BR,2022-02-06 00:17:07,-30.1811,-50.2056,74.16,91,100,4.18
24,Roma,US,2022-02-06 00:17:07,43.2128,-75.4557,3.85,75,0,4.61
25,Rock Sound,BS,2022-02-06 00:17:07,24.9,-76.2,74.23,76,3,14.2
26,Bowen,AU,2022-02-06 00:17:08,-20.0167,148.2333,81.48,62,5,16.37
27,Bluff,NZ,2022-02-06 00:14:21,-46.6,168.3333,57.79,62,61,10.47
28,Jamestown,US,2022-02-06 00:13:34,42.097,-79.2353,15.12,61,0,0.0
29,Sao Geraldo Do Araguaia,BR,2022-02-06 00:17:09,-6.4006,-48.555,74.03,96,100,2.04
30,Hobart,AU,2022-02-06 00:17:10,-42.8794,147.3294,71.06,53,40,1.01
31,Asau,RO,2022-02-06 00:17:10,46.4333,26.4,30.4,99,71,5.28
32,Deputatskiy,RU,2022-02-06 00:17:10,69.3,139.9,-30.37,98,97,2.91
33,Albany,US,2022-02-06 00:16:55,42.6001,-73.9662,14.09,59,5,4.0
34,Lavrentiya,RU,2022-02-06 00:17:11,65.5833,-171.0,-14.4,95,12,9.98
35,Busselton,AU,2022-02-06 00:17:12,-33.65,115.3333,68.04,71,16,7.43
36,Nacala,MZ,2022-02-06 00:17:12,-14.5428,40.6728,73.67,91,88,7.43
37,Kloulklubed,PW,2022-02-06 00:17:13,7.0419,134.2556,77.5,79,81,22.7
38,Aswan,EG,2022-02-06 00:17:13,24.0934,32.907,51.24,51,0,11.63
39,Bredasdorp,ZA,2022-02-06 00:17:14,-34.5322,20.0403,68.29,77,67,12.66
40,Chokurdakh,RU,2022-02-06 00:17:14,70.6333,147.9167,-32.08,100,100,1.92
41,Punta Arenas,CL,2022-02-06 00:12:15,-53.15,-70.9167,57.31,58,75,14.97
42,Torbay,CA,2022-02-06 00:17:15,47.6666,-52.7314,47.57,96,100,18.41
43,Tuatapere,NZ,2022-02-06 00:17:15,-46.1333,167.6833,56.82,64,98,6.64
44,Lorengau,PG,2022-02-06 00:13:41,-2.0226,147.2712,84.16,70,95,7.76
45,Sampit,ID,2022-02-06 00:18:16,-2.5333,112.95,76.19,95,99,2.01
46,Brae,GB,2022-02-06 00:17:14,60.3964,-1.353,37.31,56,99,35.05
47,Yellowknife,CA,2022-02-06 00:16:56,62.456,-114.3525,-13.59,86,97,5.99
48,Luderitz,NA,2022-02-06 00:15:48,-26.6481,15.1594,65.93,83,96,9.91
49,Mataura,NZ,2022-02-06 00:18:17,-46.1927,168.8643,56.48,53,97,3.8
50,Bengkulu,ID,2022-02-06 00:18:17,-3.8004,102.2655,73.56,95,100,9.19
51,Rikitea,PF,2022-02-06 00:18:18,-23.1203,-134.9692,79.45,71,71,12.24
52,Beyneu,KZ,2022-02-06 00:18:18,45.3167,55.2,29.89,87,100,21.25
53,Madisonville,US,2022-02-06 00:18:18,37.3281,-87.4989,26.46,91,5,3.47
54,Namatanai,PG,2022-02-06 00:15:41,-3.6667,152.4333,85.46,65,96,11.23
55,Vao,NC,2022-02-06 00:18:19,-22.6667,167.4833,80.38,85,41,10.09
56,Cadillac,US,2022-02-06 00:18:20,44.2519,-85.4012,21.11,73,100,16.11
57,Seoul,KR,2022-02-06 00:14:27,37.5683,126.9778,22.44,67,41,1.59
58,Key West,US,2022-02-06 00:17:06,24.5557,-81.7826,78.8,75,0,3.44
59,Uige,AO,2022-02-06 00:18:21,-7.6087,15.0613,65.48,97,93,0.89
60,Saint-Philippe,RE,2022-02-06 00:18:21,-21.3585,55.7679,78.39,83,100,19.08
61,Bethel,US,2022-02-06 00:15:43,41.3712,-73.414,23.56,69,0,3.0
62,Wald-Michelbach,DE,2022-02-06 00:18:22,49.57,8.8317,41.49,84,71,14.23
63,Buala,SB,2022-02-06 00:15:58,-8.145,159.5921,85.96,72,98,8.81
64,Avarua,CK,2022-02-06 00:18:22,-21.2078,-159.775,82.45,78,75,17.27
65,Sao Jose De Ribamar,BR,2022-02-06 00:18:23,-2.5619,-44.0542,80.98,85,100,11.79
66,Sola,VU,2022-02-06 00:16:46,-13.8833,167.55,82.35,80,99,20.38
67,Souillac,MU,2022-02-06 00:18:23,-20.5167,57.5167,79.36,89,40,11.5
68,East London,ZA,2022-02-06 00:14:43,-33.0153,27.9116,69.8,87,100,17.31
69,Cayenne,GF,2022-02-06 00:18:24,4.9333,-52.3333,80.1,85,20,5.99
70,Antofagasta,CL,2022-02-06 00:18:25,-23.65,-70.4,66.99,78,5,3.6
71,Qaqortoq,GL,2022-02-06 00:18:25,60.7167,-46.0333,0.1,73,70,4.88
72,Dali,CN,2022-02-06 00:18:25,25.7,100.1833,44.42,89,100,6.82
73,Zhicheng,CN,2022-02-06 00:18:26,30.2956,111.5047,38.39,74,100,5.3
74,Yar-Sale,RU,2022-02-06 00:15:43,66.8333,70.8333,-13.77,100,85,3.15
75,Bugalagrande,CO,2022-02-06 00:18:26,4.2121,-76.1556,70.72,93,96,1.7
76,Santo Tomas,PH,2022-02-06 00:18:27,14.1079,121.1414,79.57,75,95,10.65
77,Kodiak,US,2022-02-06 00:17:17,57.79,-152.4072,38.71,93,100,17.27
78,Arlit,NE,2022-02-06 00:18:28,18.7369,7.3853,61.18,16,0,5.41
79,Clifton Springs,AU,2022-02-06 00:18:28,-38.15,144.5667,79.29,60,46,11.5
80,Naze,JP,2022-02-06 00:18:28,28.3667,129.4833,50.92,68,100,15.32
81,Kokopo,PG,2022-02-06 00:18:29,-4.352,152.2633,84.2,61,98,6.29
82,Huilong,CN,2022-02-06 00:18:29,31.8111,121.655,42.04,57,59,4.07
83,Muli,MV,2022-02-06 00:18:30,2.9167,73.5667,81.28,67,14,5.7
84,Acajutla,SV,2022-02-06 00:18:30,13.5928,-89.8275,81.81,63,16,9.46
85,Tuckahoe,US,2022-02-06 00:18:31,37.5901,-77.5564,33.12,53,0,1.01
86,Qaanaaq,GL,2022-02-06 00:13:33,77.484,-69.3632,0.63,97,100,4.38
87,Salinopolis,BR,2022-02-06 00:18:31,-0.6136,-47.3561,78.26,86,100,8.79
88,Paramirim,BR,2022-02-06 00:18:32,-13.4425,-42.2389,70.95,94,99,4.16
89,Ushuaia,AR,2022-02-06 00:17:58,-54.8,-68.3,51.46,62,20,27.63
90,Hermanus,ZA,2022-02-06 00:15:36,-34.4187,19.2345,70.9,86,14,12.5
91,Ketchikan,US,2022-02-06 00:18:32,55.3422,-131.6461,46.38,65,100,16.11
92,Constitucion,CL,2022-02-06 00:16:29,-35.3333,-72.4167,61.29,73,1,13.02
93,Pak Chong,TH,2022-02-06 00:19:33,14.708,101.4161,71.82,70,57,7.09
94,Hithadhoo,MV,2022-02-06 00:14:46,-0.6,73.0833,81.59,72,36,6.73
95,Mogilno,PL,2022-02-06 00:19:34,52.6581,17.9558,37.2,82,100,18.63
96,San Quintin,MX,2022-02-06 00:19:34,30.4833,-115.95,61.32,32,1,5.95
97,Puquio,PE,2022-02-06 00:19:35,-14.7,-74.1333,51.26,71,92,7.38
98,Kyzyl-Suu,KG,2022-02-06 00:19:35,42.3414,78.0056,12.22,54,0,12.35
99,Puerto Ayora,EC,2022-02-06 00:19:36,-0.7393,-90.3518,75.54,91,64,4.0
100,Disna,BY,2022-02-06 00:19:36,55.568,28.1971,32.47,91,100,13.85
101,Iralaya,HN,2022-02-06 00:19:36,15.0,-83.2333,80.69,81,16,9.01
102,Lata,PT,2022-02-06 00:19:37,40.1629,-8.3327,47.05,79,0,4.23
103,Atuona,PF,2022-02-06 00:19:37,-9.8,-139.0333,78.33,79,11,21.99
104,Merauke,ID,2022-02-06 00:19:38,-8.4667,140.3333,81.97,81,93,9.69
105,Asyut,EG,2022-02-06 00:19:38,27.181,31.1837,49.64,59,0,5.75
106,Castro,BR,2022-02-06 00:19:35,-24.7911,-50.0119,65.59,97,79,1.54
107,Tarauaca,BR,2022-02-06 00:19:39,-8.1614,-70.7656,74.01,92,83,2.98
108,La Asuncion,VE,2022-02-06 00:19:40,11.0333,-63.8628,78.53,78,4,13.8
109,Margate,GB,2022-02-06 00:18:06,51.3813,1.3862,51.04,74,100,11.99
110,Ponta Do Sol,PT,2022-02-06 00:15:43,32.6667,-17.1,67.01,52,10,12.08
111,Sur,OM,2022-02-06 00:19:41,22.5667,59.5289,71.08,46,0,6.76
112,Cabedelo,BR,2022-02-06 00:19:41,-6.9811,-34.8339,81.27,71,33,9.98
113,La Ronge,CA,2022-02-06 00:19:42,55.1001,-105.2842,-3.75,71,100,1.14
114,Pangnirtung,CA,2022-02-06 00:19:42,66.1451,-65.7125,-30.98,98,100,3.67
115,Vaini,TO,2022-02-06 00:14:48,-21.2,-175.2,75.36,94,100,14.97
116,Georgetown,MY,2022-02-06 00:15:21,5.4112,100.3354,79.9,89,20,2.3
117,Upernavik,GL,2022-02-06 00:19:43,72.7868,-56.1549,-1.7,97,100,3.0
