City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,78.57,broken clouds,-23.1203,-134.9692,People ThankYou
4,Vaini,TO,79.88,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,La Palma,US,83.5,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
6,Coruripe,BR,82.65,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
7,Hilo,US,76.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Vao,NC,80.58,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
11,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,La Brea,HN,81.91,scattered clouds,15.8,-85.9667,Hotel reynita
21,Hambantota,LK,76.37,overcast clouds,6.1241,81.1185,Bungalow 63
24,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Kapaa,US,77.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
37,Atuona,PF,78.21,few clouds,-9.8,-139.0333,Villa Enata
44,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
47,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.0833,Scoop Guest House
49,Puerto Ayacucho,VE,86.77,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
53,Beira,MZ,77.04,few clouds,-19.8436,34.8389,Beira Terrace Hotel
56,Piranhas,BR,81.0,light rain,-16.4269,-51.8222,Planalto Hotel
65,Rafaela,AR,90.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
66,Isangel,VU,79.63,moderate rain,-19.55,169.2667,Tanna Lodge
72,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
76,Cobija,BO,75.58,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
78,Malindi,KE,77.34,few clouds,-3.2175,40.1191,African House Resort
83,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
97,Malakal,SS,80.15,few clouds,9.5334,31.6605,Nile Palace Hotel
101,Cockburn Town,TC,77.86,clear sky,21.4612,-71.1419,Osprey Beach Hotel
106,Viedma,AR,88.27,overcast clouds,-40.8135,-62.9967,Hotel Cristal
109,San Matias,BO,83.14,moderate rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
110,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
113,Iralaya,HN,81.0,few clouds,15.0,-83.2333,Iglesia morava renovada
114,Axim,GH,79.14,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
121,Butaritari,KI,81.63,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
126,Puerto Colombia,CO,81.19,clear sky,10.9878,-74.9547,Hotel El Emigrante
129,Caravelas,BR,81.05,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
133,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
134,Alta Floresta,BR,84.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
148,Maragogi,BR,81.79,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
151,Biak,ID,75.0,overcast clouds,-0.9131,122.8766,Penginapan Kim
159,Kpandae,GH,87.62,scattered clouds,8.4689,-0.0113,S. Amaski Guest House
