City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,72.68,76,74,4.81,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,78.57,72,54,10.65,broken clouds
2,Khatanga,RU,71.9667,102.5,3.67,80,100,17.74,overcast clouds
3,Tasiilaq,GL,65.6145,-37.6368,11.48,80,100,8.63,overcast clouds
4,Vaini,TO,-21.2,-175.2,79.88,82,67,24.11,broken clouds
5,La Palma,US,33.8464,-118.0467,83.5,26,45,1.99,scattered clouds
6,Coruripe,BR,-10.1256,-36.1756,82.65,68,0,13.29,clear sky
7,Hilo,US,19.7297,-155.09,76.24,71,40,6.91,scattered clouds
8,Coromandel,BR,-18.4733,-47.2003,68.47,94,100,3.69,overcast clouds
9,Lumby,CA,50.2498,-118.969,43.66,85,100,5.75,overcast clouds
10,Vao,NC,-22.6667,167.4833,80.58,87,40,23.38,scattered clouds
11,Souillac,MU,-20.5167,57.5167,76.35,88,40,3.44,scattered clouds
12,La Brea,HN,15.8,-85.9667,81.91,65,40,5.75,scattered clouds
13,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,6.91,clear sky
14,Jamestown,US,42.097,-79.2353,26.53,59,100,11.5,overcast clouds
15,Te Anau,NZ,-45.4167,167.7167,58.73,82,81,1.14,broken clouds
16,Ribeira Grande,PT,38.5167,-28.7,57.6,82,40,5.75,scattered clouds
17,Vostok,RU,46.4856,135.8833,-4.31,99,99,3.85,overcast clouds
18,Aljezur,PT,37.3191,-8.8033,55.6,83,0,12.21,clear sky
19,Cherskiy,RU,68.75,161.3,-41.91,100,86,4.54,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,58.62,47,40,12.66,scattered clouds
21,Hambantota,LK,6.1241,81.1185,76.37,66,100,14.36,overcast clouds
22,New Norfolk,AU,-42.7826,147.0587,54.91,74,52,3.0,broken clouds
23,Hasaki,JP,35.7333,140.8333,30.6,66,94,13.29,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,58,9.13,broken clouds
25,Tibati,CM,6.4667,12.6333,71.58,21,9,5.64,clear sky
26,Mataura,NZ,-46.1927,168.8643,51.48,93,100,3.42,overcast clouds
27,Nikolskoye,RU,59.7035,30.7861,28.29,96,100,4.81,overcast clouds
28,Bluff,NZ,-46.6,168.3333,51.8,89,100,11.43,overcast clouds
29,Fort Nelson,CA,58.8053,-122.7002,0.99,78,100,4.61,overcast clouds
30,Kapaa,US,22.0752,-159.319,77.11,67,1,5.99,clear sky
31,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,8,9.22,clear sky
32,Ampanihy,MG,-24.7,44.75,74.79,86,92,13.06,overcast clouds
33,Fortuna,US,40.5982,-124.1573,61.93,71,0,4.61,clear sky
34,Bathsheba,BB,13.2167,-59.5167,83.01,57,40,17.27,scattered clouds
35,Lavrentiya,RU,65.5833,-171.0,-26.82,96,45,13.02,scattered clouds
36,Punta Arenas,CL,-53.15,-70.9167,57.31,44,40,21.85,scattered clouds
37,Atuona,PF,-9.8,-139.0333,78.21,79,18,16.51,few clouds
38,Tura,IN,25.5198,90.2201,54.01,73,4,3.22,clear sky
39,Victoria Point,AU,-27.5833,153.3,66.9,88,15,6.46,few clouds
40,Salalah,OM,17.0151,54.0924,67.48,25,45,14.16,scattered clouds
41,Manono,CD,-7.3,27.4167,70.23,95,90,3.65,light rain
42,Along,IN,28.1667,94.7667,48.29,90,57,1.97,broken clouds
43,Haines Junction,CA,60.7522,-137.5108,31.95,74,98,6.91,overcast clouds
44,Avarua,CK,-21.2078,-159.775,80.65,83,40,9.22,scattered clouds
45,Saskylakh,RU,71.9167,114.0833,1.38,85,100,14.29,overcast clouds
46,Martaban,MM,16.5314,97.6111,68.61,60,98,3.38,overcast clouds
47,Hithadhoo,MV,-0.6,73.0833,82.63,69,100,15.05,overcast clouds
48,Qaanaaq,GL,77.484,-69.3632,-12.55,92,100,4.97,overcast clouds
49,Puerto Ayacucho,VE,5.6639,-67.6236,86.77,60,100,4.83,overcast clouds
50,Hamilton,US,39.1834,-84.5333,46.2,54,8,5.01,clear sky
51,Kondinskoye,RU,59.6481,67.41,0.91,99,78,6.73,broken clouds
52,Manyana,BW,-23.4,21.7167,78.44,35,91,5.55,overcast clouds
53,Beira,MZ,-19.8436,34.8389,77.04,74,22,6.35,few clouds
54,Lebu,CL,-37.6167,-73.65,65.39,80,34,18.63,scattered clouds
